OrderID,CustomerID,ProductID,Category,Price,Quantity,Delivery_Rating,Review_Text,Discount,Shipping_Cost,Discount_Percentage,Total_Amount,Net_Sales
ORD105493,CUST11366,PROD2888,Books,275.09,,,Will buy again.,29.89,148.47,29.89,,
ORD106570,CUST10757,PROD1520,Beauty,264.18,3.0,1.0,Fast delivery and great packaging.,46.09,65.03,46.09,792.54,492.2883139999999
ORD108111,CUST14086,PROD1868,Sports,8.23,4.0,,Five stars!,4.42,97.92,4.42,32.92,129.384936
ORD102820,CUST12174,PROD2865,Home & Kitchen,371.99,4.0,,Terrible experience.,9.8,141.83,9.8,1487.96,1483.96992
ORD105337,CUST10890,PROD2318,Electronics,249.86,2.0,3.0,Five stars!,2.26,41.72,2.26,499.72,530.146328
ORD105369,CUST10889,PROD1038,Beauty,66.93,1.0,5.0,Exceeded expectations.,16.27,113.29,16.27,66.93,169.330489
ORD104184,CUST11205,PROD2404,Clothing,36.54,2.0,,Terrible experience.,19.43,118.15,19.43,73.08,177.030556
ORD109403,CUST13340,PROD2877,Books,422.71,3.0,,Five stars!,13.57,31.57,13.57,1268.13,1127.6147589999998
ORD109625,CUST12793,PROD2668,Beauty,256.67,1.0,1.0,Not as described.,41.44,131.96,41.44,256.67,282.265952
ORD100303,CUST10127,PROD2292,Toys,407.6,,3.0,Not as described.,17.84,125.7,17.84,,
ORD100033,CUST13202,PROD2111,Toys,75.88,3.0,1.0,Five stars!,14.05,24.34,14.05,227.64,219.99658
ORD103274,CUST12064,PROD1180,Electronics,449.64,3.0,,"Excellent product, highly recommend.",27.13,31.84,27.13,1348.92,1014.798004
ORD101941,CUST12466,PROD1766,,153.04,1.0,,Quality could be better.,7.05,26.39,7.05,153.04,168.64067999999995
ORD109116,CUST14479,PROD2244,Toys,151.86,3.0,,Quality could be better.,40.11,63.52,40.11,455.58,336.366862
ORD109283,CUST10386,PROD2821,Clothing,390.35,,4.0,Good value for money.,3.73,86.21,3.73,,
ORD103522,CUST13565,PROD2145,Books,85.49,4.0,3.0,Average product.,49.34,89.21,49.34,341.96,262.44693599999994
ORD104836,CUST12123,PROD1774,Clothing,20.16,4.0,2.0,,38.61,54.8,38.61,80.64,104.304896
ORD107107,CUST11075,PROD1977,Books,160.26,1.0,,,9.94,138.51,9.94,160.26,282.840156
ORD100251,CUST14493,,Beauty,354.07,3.0,1.0,Average product.,0.28,67.87,0.28,1062.21,1127.1058120000002
ORD109071,CUST13811,PROD2586,Toys,481.11,1.0,4.0,Quality could be better.,40.77,25.92,40.77,481.11,310.881453
ORD106899,CUST10199,PROD2809,Electronics,436.29,3.0,,Average product.,35.34,59.03,35.34,1308.87,905.345342
ORD109733,CUST12594,PROD2617,Beauty,40.66,3.0,,Exceeded expectations.,36.45,89.04,36.45,121.98,166.55829
ORD109440,CUST13242,PROD2072,Sports,201.16,3.0,1.0,Not as described.,38.56,73.07,38.56,603.48,443.848112
ORD100457,CUST11516,PROD2327,Home & Kitchen,214.64,2.0,2.0,"Excellent product, highly recommend.",3.7,55.6,3.7,429.28,468.99664
ORD102954,CUST11257,PROD2793,Books,318.55,3.0,2.0,"Excellent product, highly recommend.",17.92,37.07,17.92,955.65,821.4675200000001
ORD101839,CUST11440,PROD2769,Electronics,,4.0,3.0,Fast delivery and great packaging.,5.79,126.49,5.79,,
ORD105865,CUST11867,PROD1030,Sports,211.71,2.0,,Good value for money.,43.16,149.5,43.16,423.42,390.171928
ORD108500,CUST11890,PROD2976,Books,7.85,1.0,2.0,Good value for money.,31.16,62.84,31.16,7.85,68.24394000000001
ORD109559,CUST14979,PROD1178,Sports,95.12,4.0,4.0,Not as described.,16.54,69.61,16.54,380.48,387.158608
ORD101277,CUST12461,PROD1002,Toys,102.01,1.0,2.0,Average product.,3.18,100.34,3.18,102.01,199.106082
ORD101145,CUST14683,PROD2349,,404.62,3.0,1.0,,15.55,113.4,15.55,1213.86,1138.5047700000002
ORD110107,CUST14997,PROD1583,Grocery,192.04,4.0,4.0,Terrible experience.,16.26,70.96,16.26,768.16,714.217184
ORD109287,CUST13528,PROD2751,Books,155.61,3.0,5.0,,36.48,137.64,36.48,466.83,434.1704160000001
ORD108443,CUST11162,PROD2490,Sports,386.42,3.0,1.0,Fast delivery and great packaging.,31.88,92.8,31.88,1159.26,882.4879119999999
ORD109783,CUST14222,PROD2772,Clothing,494.04,4.0,4.0,Fast delivery and great packaging.,44.36,78.55,44.36,1976.16,1178.085424
ORD109956,CUST14053,PROD2068,Clothing,156.02,4.0,2.0,Five stars!,23.61,104.07,23.61,624.08,580.8047120000001
ORD110090,CUST13488,PROD2153,Books,41.04,2.0,4.0,Exceeded expectations.,5.98,143.86,5.98,82.08,221.031616
ORD103204,CUST13796,PROD2784,Home & Kitchen,431.42,4.0,1.0,Average product.,35.66,123.29,35.66,1725.68,1233.5925120000002
ORD106814,CUST10223,PROD2604,Clothing,379.65,4.0,4.0,Exceeded expectations.,38.04,25.2,38.04,1518.6,966.12456
ORD104553,CUST13190,PROD1753,Beauty,124.81,2.0,3.0,Good value for money.,28.06,63.2,28.06,249.62,242.776628
ORD106377,CUST11065,,Home & Kitchen,180.26,4.0,,Five stars!,38.55,81.17,38.55,721.04,524.2490799999999
ORD105572,CUST13197,PROD2675,Toys,359.57,1.0,4.0,Quality could be better.,24.69,60.89,24.69,359.57,331.68216699999994
ORD101178,CUST11250,PROD1960,Home & Kitchen,74.65,4.0,4.0,Terrible experience.,26.14,111.02,26.14,298.6,331.56596
ORD105032,CUST11269,PROD2523,Home & Kitchen,342.88,2.0,3.0,Not as described.,21.38,127.41,21.38,685.76,666.5545119999999
ORD101793,CUST13952,PROD1303,Electronics,381.06,2.0,5.0,Terrible experience.,1.27,115.07,1.27,762.12,867.511076
ORD104453,,PROD2205,Clothing,384.96,2.0,,Average product.,5.39,148.61,5.39,769.92,877.031312
ORD104829,CUST11216,PROD1858,Beauty,461.27,1.0,,Quality could be better.,1.57,55.43,1.57,461.27,509.458061
ORD100673,CUST13374,PROD2404,Electronics,414.7,2.0,,Average product.,31.82,133.75,31.82,829.4,699.23492
ORD102724,CUST12524,PROD1978,Home & Kitchen,288.42,2.0,,Good value for money.,15.72,119.66,15.72,576.84,605.820752
ORD105422,CUST13862,PROD1880,Books,113.89,1.0,1.0,Terrible experience.,25.43,67.08,25.43,113.89,152.007773
ORD108574,CUST14640,PROD2203,Grocery,482.19,3.0,4.0,Average product.,45.38,115.44,45.38,1446.57,905.5565339999998
ORD110017,CUST13039,PROD2038,Beauty,261.9,4.0,5.0,Exceeded expectations.,12.46,33.53,12.46,1047.6,950.5990399999998
ORD107709,CUST11794,PROD2024,Beauty,387.3,4.0,5.0,Good value for money.,20.52,122.61,20.52,1549.2,1353.91416
ORD107074,CUST10361,PROD2675,Books,463.57,1.0,,Quality could be better.,37.78,89.2,37.78,463.57,377.633254
ORD102221,CUST13291,PROD1279,Books,118.81,4.0,,Fast delivery and great packaging.,11.44,58.0,11.44,475.24,478.872544
ORD106273,CUST13964,PROD2510,Clothing,392.54,4.0,1.0,Terrible experience.,3.85,105.25,3.85,1570.16,1614.95884
ORD108492,CUST12997,PROD2834,Grocery,91.69,1.0,,Quality could be better.,14.49,103.41,14.49,91.69,181.814119
ORD103442,,PROD2432,Sports,89.15,4.0,3.0,Good value for money.,8.06,47.23,8.06,356.6,375.08804
ORD104889,CUST14922,PROD1643,Grocery,411.96,3.0,,,46.48,23.95,46.48,1235.88,685.3929760000001
ORD101623,CUST13638,PROD2482,Clothing,,2.0,2.0,Average product.,40.41,76.37,40.41,,
ORD104624,CUST12925,PROD1171,Clothing,411.85,4.0,2.0,Terrible experience.,31.67,94.04,31.67,1647.4,1219.70842
ORD100883,CUST12898,PROD1531,Grocery,259.53,,3.0,"Excellent product, highly recommend.",43.57,133.96,43.57,,
ORD105261,CUST11211,PROD1364,Grocery,359.21,1.0,4.0,Fast delivery and great packaging.,40.18,140.67,40.18,359.21,355.549422
ORD101617,CUST12134,PROD1056,Grocery,192.67,2.0,,Average product.,9.33,88.74,9.33,385.34,438.127778
ORD102492,CUST10424,PROD2288,Sports,265.62,3.0,,Will buy again.,44.63,117.99,44.63,796.86,559.211382
ORD108330,CUST11224,PROD1020,Sports,130.19,1.0,2.0,,26.97,77.11,26.97,130.19,172.18775699999998
ORD106926,CUST13320,PROD2937,,242.12,1.0,,Fast delivery and great packaging.,40.37,116.99,40.37,242.12,261.366156
ORD101501,CUST14026,PROD2278,Clothing,413.86,4.0,,Average product.,44.8,46.62,44.8,1655.44,960.42288
ORD107864,CUST14070,PROD1292,Books,187.12,3.0,,"Excellent product, highly recommend.",15.9,68.24,15.9,561.36,540.34376
ORD106165,CUST10888,PROD1245,Grocery,483.08,1.0,3.0,Fast delivery and great packaging.,5.5,102.45,5.5,483.08,558.9606
ORD102018,CUST13943,PROD1474,Toys,106.18,,1.0,Exceeded expectations.,11.4,22.36,11.4,,
ORD108446,CUST11939,PROD2934,Books,450.18,4.0,4.0,Exceeded expectations.,21.36,113.92,21.36,1800.72,1530.006208
ORD101056,CUST14926,PROD2982,Books,29.35,4.0,5.0,Average product.,40.9,128.62,40.9,117.4,198.0034
ORD104610,CUST13672,PROD2067,Beauty,342.18,2.0,2.0,Not as described.,43.04,71.89,43.04,684.36,461.701456
ORD105218,CUST13419,PROD1131,Beauty,490.87,3.0,,Five stars!,0.35,78.23,0.35,1472.61,1545.685865
ORD101142,CUST12089,PROD1400,Electronics,25.43,,1.0,Good value for money.,25.54,130.67,25.54,,
ORD100318,CUST14057,PROD1100,Home & Kitchen,463.37,4.0,3.0,Fast delivery and great packaging.,20.87,120.84,20.87,1853.48,1587.4987239999998
ORD103651,CUST11907,PROD2782,Electronics,390.65,2.0,4.0,Five stars!,11.11,57.46,11.11,781.3,751.95757
ORD109693,CUST10233,PROD2179,Toys,221.66,4.0,2.0,Fast delivery and great packaging.,5.99,62.12,5.99,886.64,895.650264
ORD106011,CUST14196,PROD2937,Clothing,57.75,2.0,,Average product.,16.88,108.25,16.88,115.5,204.2536
ORD107219,CUST14113,PROD1561,Home & Kitchen,269.94,3.0,,Will buy again.,47.15,93.22,47.15,809.8199999999999,521.2098699999999
ORD103421,CUST13423,PROD1441,Books,299.75,3.0,1.0,"Excellent product, highly recommend.",16.16,41.09,16.16,899.25,795.0212
ORD109823,CUST11835,PROD2821,Home & Kitchen,277.45,1.0,5.0,,25.94,60.29,25.94,277.45,265.76947
ORD102955,CUST13634,PROD2644,Grocery,340.92,2.0,4.0,Five stars!,35.15,137.0,35.15,681.84,579.1732400000001
ORD106684,CUST13976,,Electronics,471.48,2.0,3.0,Fast delivery and great packaging.,18.18,109.46,18.18,942.96,880.9898720000001
ORD106948,CUST12970,PROD2623,Books,381.43,2.0,1.0,Fast delivery and great packaging.,48.59,148.18,48.59,762.86,540.3663260000001
ORD101454,CUST11040,PROD1912,Toys,361.32,,4.0,,48.12,119.71,48.12,,
ORD110309,CUST12896,PROD2688,Sports,476.61,4.0,,Fast delivery and great packaging.,12.59,142.46,12.59,1906.44,1808.879204
ORD103593,CUST10976,PROD1477,Electronics,78.6,4.0,2.0,Average product.,24.86,48.1,24.86,314.4,284.34016
ORD110036,CUST11136,PROD1944,Sports,130.57,1.0,4.0,Exceeded expectations.,15.04,120.29,15.04,130.57,231.222272
ORD104194,CUST11474,PROD2647,Books,413.59,4.0,,,14.24,22.63,14.24,1654.36,1441.409136
ORD108299,CUST10783,PROD1656,Sports,347.82,2.0,,"Excellent product, highly recommend.",1.84,107.2,1.84,695.64,790.0402240000001
ORD101453,,PROD1975,Beauty,6.67,4.0,3.0,Not as described.,30.48,81.01,30.48,26.68,99.557936
ORD101889,CUST10105,PROD2488,Grocery,498.4,1.0,1.0,Five stars!,25.13,65.08,25.13,498.4,438.23208
ORD108760,CUST13088,PROD1249,Electronics,34.54,3.0,4.0,Fast delivery and great packaging.,2.57,132.11,2.57,103.62,233.06696600000004
ORD103777,CUST12964,PROD2289,Books,266.94,2.0,3.0,Exceeded expectations.,13.93,131.05,13.93,533.88,590.560516
ORD108035,CUST11558,,Beauty,149.47,1.0,2.0,Average product.,45.41,22.9,45.41,149.47,104.495673
ORD108114,CUST11079,PROD2665,Electronics,316.87,4.0,4.0,Average product.,11.98,99.24,11.98,1267.48,1214.875896
ORD105364,CUST10479,PROD2613,Books,77.7,1.0,4.0,Terrible experience.,7.24,67.82,7.24,77.7,139.89452
ORD100218,CUST14548,PROD2417,Sports,409.41,4.0,1.0,Exceeded expectations.,24.47,74.04,24.47,1637.64,1310.9494920000002
ORD104802,CUST12966,PROD1890,Grocery,343.94,4.0,1.0,Fast delivery and great packaging.,49.28,128.17,49.28,1375.76,825.955472
ORD107887,CUST11231,PROD2956,Beauty,263.92,1.0,1.0,Good value for money.,12.1,60.28,12.1,263.92,292.26568
ORD103254,CUST10234,PROD2826,Beauty,425.39,2.0,,Quality could be better.,33.61,142.6,33.61,850.78,707.432842
ORD101576,CUST10917,PROD2605,Sports,449.64,3.0,2.0,Not as described.,38.08,43.35,38.08,1348.92,878.6012640000001
ORD100518,CUST11191,PROD1260,Books,404.03,4.0,1.0,"Excellent product, highly recommend.",11.88,106.15,11.88,1616.12,1530.274944
ORD100554,CUST10894,PROD2831,Electronics,177.61,2.0,4.0,Terrible experience.,36.41,107.37,36.41,355.22,333.25439800000004
ORD102592,CUST11283,PROD2396,Books,24.46,3.0,,Five stars!,18.39,52.79,18.39,73.38,112.675418
ORD102836,CUST13321,PROD1938,Electronics,20.93,3.0,,Fast delivery and great packaging.,31.62,62.22,31.62,62.79,105.155802
ORD101208,CUST12322,PROD2425,Toys,,4.0,4.0,Terrible experience.,31.68,128.52,31.68,,
ORD104685,CUST14647,PROD1521,Beauty,352.55,1.0,,Exceeded expectations.,26.79,119.03,26.79,352.55,377.131855
ORD100914,CUST12626,PROD2948,Beauty,40.23,,,Exceeded expectations.,4.51,62.78,4.51,,
ORD102249,CUST13359,PROD1604,Electronics,60.64,3.0,,Fast delivery and great packaging.,41.77,89.41,41.77,181.92,195.342016
ORD105325,CUST10270,PROD2428,Grocery,69.13,1.0,5.0,Exceeded expectations.,16.04,28.02,16.04,69.13,86.06154799999999
ORD105605,CUST13280,PROD2844,Toys,124.94,,5.0,,9.33,47.14,9.33,,
ORD109726,CUST12447,PROD1518,Clothing,106.52,3.0,5.0,Good value for money.,2.04,83.16,2.04,319.56,396.200976
ORD110178,CUST12320,PROD1724,Grocery,471.66,4.0,5.0,Not as described.,29.54,31.18,29.54,1886.64,1360.506544
ORD103543,CUST10253,PROD1619,Grocery,21.43,4.0,5.0,Average product.,33.88,129.63,33.88,85.72,186.308064
ORD103573,CUST11135,PROD1067,,38.37,2.0,,Will buy again.,0.83,113.34,0.83,76.74,189.443058
ORD103501,CUST12450,PROD2844,Books,433.36,3.0,2.0,"Excellent product, highly recommend.",25.6,142.67,25.6,1300.08,1109.92952
ORD102589,CUST13604,PROD1075,Clothing,273.62,2.0,4.0,Good value for money.,11.32,110.15,11.32,547.24,595.442432
ORD109478,CUST14674,PROD1741,Beauty,15.33,2.0,3.0,Quality could be better.,32.26,142.25,32.26,30.66,163.019084
ORD106496,CUST11216,PROD2038,Beauty,460.57,3.0,3.0,"Excellent product, highly recommend.",8.72,92.09,8.72,1381.71,1353.314888
ORD102692,CUST14178,PROD2928,Toys,334.99,4.0,,Will buy again.,34.55,98.03,34.55,1339.96,975.03382
ORD106159,CUST13364,PROD1730,Sports,455.56,1.0,,Terrible experience.,19.34,147.01,19.34,455.56,514.464696
ORD106119,CUST12795,PROD2196,Beauty,119.02,4.0,1.0,Five stars!,46.84,103.48,46.84,476.08,356.564128
ORD109044,CUST13900,,Electronics,310.86,3.0,2.0,Good value for money.,6.88,24.0,6.88,932.58,892.418496
ORD103706,CUST13168,PROD2046,Clothing,95.41,3.0,1.0,Quality could be better.,17.05,114.09,17.05,286.23,351.517785
ORD104466,CUST10314,PROD2161,Home & Kitchen,76.59,3.0,,Fast delivery and great packaging.,5.67,137.71,5.67,229.77,354.452041
ORD104602,CUST12398,PROD2867,Home & Kitchen,256.63,3.0,,"Excellent product, highly recommend.",46.23,123.43,46.23,769.89,537.399853
ORD109573,CUST10526,PROD1248,Sports,106.04,4.0,,Not as described.,43.87,95.9,43.87,424.16,333.98100800000003
ORD100304,CUST12065,PROD1332,Clothing,53.88,4.0,,Average product.,12.9,107.27,12.9,215.52,294.98792000000003
ORD109585,CUST14182,PROD2860,Electronics,434.17,3.0,,"Excellent product, highly recommend.",33.0,148.72,33.0,1302.51,1021.4017
ORD100856,CUST12832,PROD2550,,231.36,2.0,3.0,Five stars!,40.86,31.79,40.86,462.72,305.442608
ORD104783,CUST11001,PROD1287,Grocery,426.66,3.0,2.0,"Excellent product, highly recommend.",27.76,106.74,27.76,1279.98,1031.397552
ORD101688,CUST12340,PROD1985,Books,398.34,1.0,5.0,,26.48,56.84,26.48,398.34,349.699568
ORD100035,CUST13890,PROD2255,Electronics,96.55,3.0,2.0,Good value for money.,12.09,103.21,12.09,289.65,357.84131499999995
ORD107070,CUST12079,PROD2928,Toys,428.09,2.0,,Average product.,4.66,98.99,4.66,856.18,915.272012
ORD102310,CUST12460,PROD2396,Books,390.36,2.0,,Will buy again.,44.86,39.95,44.86,780.72,470.439008
ORD103286,CUST14214,PROD2395,Toys,215.64,1.0,5.0,"Excellent product, highly recommend.",45.02,46.88,45.02,215.64,165.43887199999998
ORD102386,CUST14278,PROD2607,Clothing,109.92,2.0,5.0,Not as described.,31.66,100.81,31.66,219.84,251.048656
ORD109074,CUST10080,PROD2268,Toys,27.46,4.0,4.0,Exceeded expectations.,16.95,36.67,16.95,109.84,127.89212
ORD108129,CUST12605,PROD1582,Home & Kitchen,139.54,4.0,3.0,"Excellent product, highly recommend.",17.46,54.47,17.46,558.16,515.175264
ORD109153,CUST13138,PROD2862,Sports,421.76,2.0,3.0,Five stars!,36.3,128.58,36.3,843.52,665.90224
ORD109906,CUST10532,PROD1289,Clothing,166.44,1.0,,Five stars!,44.86,62.52,44.86,166.44,154.295016
ORD109883,CUST11264,PROD1699,Books,186.74,4.0,,Quality could be better.,44.35,83.45,44.35,746.96,499.13324000000006
ORD110096,,PROD1294,Books,135.4,,,Average product.,38.99,142.35,38.99,,
ORD106786,,PROD2263,Clothing,186.73,3.0,,"Excellent product, highly recommend.",32.1,49.53,32.1,560.1899999999999,429.89901
ORD105431,CUST13515,,Beauty,482.09,4.0,1.0,Five stars!,4.21,70.65,4.21,1928.36,1917.826044
ORD100408,CUST11757,PROD2811,,253.11,4.0,5.0,Quality could be better.,8.08,98.84,8.08,1012.44,1029.474848
ORD106947,CUST12584,PROD1115,Home & Kitchen,175.29,4.0,5.0,"Excellent product, highly recommend.",44.93,118.19,44.93,701.16,504.318812
ORD101562,CUST13762,PROD1538,Sports,494.38,4.0,,Average product.,30.32,137.21,30.32,1977.52,1515.145936
ORD101509,CUST11980,PROD2952,Grocery,343.8,4.0,2.0,Good value for money.,0.46,139.01,0.46,1375.2,1507.88408
ORD100095,CUST14875,PROD1148,Clothing,192.65,1.0,,"Excellent product, highly recommend.",5.07,120.96,5.07,192.65,303.842645
ORD101512,CUST10792,PROD1846,Grocery,423.17,3.0,2.0,Terrible experience.,33.18,49.68,33.18,1269.51,897.9665819999999
ORD102412,,PROD2579,Grocery,196.0,3.0,5.0,"Excellent product, highly recommend.",0.25,23.23,0.25,588.0,609.76
ORD104706,CUST14591,PROD2129,Electronics,34.02,3.0,3.0,Will buy again.,8.04,69.89,8.04,102.06,163.744376
ORD109647,CUST14540,PROD1490,Grocery,498.1,1.0,5.0,Good value for money.,27.44,38.4,27.44,498.1,399.82136
ORD107346,CUST12262,PROD2166,Electronics,346.44,2.0,1.0,Will buy again.,34.59,112.35,34.59,692.88,565.562808
ORD106201,CUST10773,PROD1982,Sports,373.65,2.0,,Average product.,32.6,105.95,32.6,747.3,609.6302
ORD100997,CUST13507,PROD2800,Home & Kitchen,42.3,1.0,,Not as described.,11.21,25.72,11.21,42.3,63.27817
ORD109598,CUST10577,PROD2550,Grocery,369.49,1.0,3.0,,35.61,128.76,35.61,369.49,366.674611
ORD104549,CUST14069,PROD1591,Electronics,390.1,4.0,1.0,Terrible experience.,11.86,52.34,11.86,1560.4,1427.67656
ORD101261,CUST12983,PROD1378,Books,426.15,2.0,2.0,Good value for money.,16.27,76.19,16.27,852.3,789.82079
ORD103880,CUST11358,PROD2768,Grocery,355.64,1.0,3.0,Five stars!,37.32,106.83,37.32,355.64,329.745152
ORD104879,CUST14578,PROD1540,Beauty,422.6,1.0,3.0,Exceeded expectations.,32.48,75.82,32.48,422.6,361.15952
ORD105214,,PROD2657,Sports,232.51,1.0,1.0,Fast delivery and great packaging.,42.46,77.37,42.46,232.51,211.156254
ORD109640,CUST14320,PROD1948,Clothing,6.03,4.0,3.0,Not as described.,32.88,28.53,32.88,24.12,44.719344
